GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,HOME_TEAM_WINS,SEASON
22100326,1610612760,1610612745,0,2021
22100323,1610612748,1610612739,0,2021
22100319,1610612754,1610612737,0,2021
22100341,1610612747,1610612746,0,2021
22100333,1610612754,1610612748,0,2021
22100346,1610612744,1610612759,0,2021
22100344,1610612749,1610612748,1,2021
22100444,1610612760,1610612746,1,2021
22100597,1610612746,1610612737,1,2021
22100449,1610612765,1610612748,1,2021
22100616,1610612746,1610612743,1,2021
22100556,1610612749,1610612765,0,2021
22100572,1610612742,1610612744,1,2021
22100570,1610612738,1610612759,0,2021
22100589,1610612747,1610612737,1,2021
22100586,1610612745,1610612742,0,2021
22100604,1610612744,1610612739,1,2021
22100601,1610612760,1610612743,0,2021
22100609,1610612738,1610612754,1,2021
22100623,1610612759,1610612745,0,2021
22100559,1610612744,1610612748,1,2021
22100621,1610612737,1610612748,0,2021
22100618,1610612754,1610612738,0,2021
22100627,1610612749,1610612744,1,2021
22100638,1610612759,1610612739,0,2021
22100636,1610612748,1610612737,1,2021
22100649,1610612743,1610612747,1,2021
22100648,1610612759,1610612746,1,2021
22100263,1610612765,1610612748,0,2021
22100558,1610612742,1610612743,1,2021
22100547,1610612739,1610612754,1,2021
22100463,1610612746,1610612759,0,2021
22100489,1610612749,1610612738,1,2021
22100465,1610612748,1610612754,1,2021
22100474,1610612760,1610612743,1,2021
22100473,1610612749,1610612745,1,2021
22100471,1610612738,1610612739,1,2021
22100487,1610612747,1610612759,0,2021
22100481,1610612742,1610612749,0,2021
22100479,1610612748,1610612765,1,2021
22100476,1610612754,1610612745,1,2021
22100500,1610612746,1610612743,0,2021
22100550,1610612760,1610612742,0,2021
22100498,1610612759,1610612765,1,2021
22100514,1610612744,1610612743,0,2021
22100511,1610612745,1610612747,0,2021
22100518,1610612738,1610612746,0,2021
22100533,1610612739,1610612737,0,2021
22100532,1610612745,1610612748,0,2021
22100543,1610612745,1610612743,0,2021
22100540,1610612765,1610612759,1,2021
22100277,1610612759,1610612737,0,2021
22100015,1610612748,1610612749,1,2021
22100266,1610612746,1610612742,0,2021
22100042,1610612754,1610612749,0,2021
22100024,1610612743,1610612759,1,2021
22100023,1610612745,1610612760,1,2021
22100032,1610612759,1610612749,0,2021
22100028,1610612754,1610612748,1,2021
22100027,1610612739,1610612737,1,2021
22100037,1610612745,1610612738,0,2021
22100048,1610612743,1610612739,0,2021
22100043,1610612737,1610612765,1,2021
22100053,1610612759,1610612747,0,2021
22100663,1610612742,1610612760,1,2021
22100052,1610612742,1610612745,1,2021
22100051,1610612760,1610612744,0,2021
22100064,1610612746,1610612739,0,2021
22100061,1610612760,1610612747,1,2021
22100069,1610612742,1610612759,1,2021
22100077,1610612747,1610612739,1,2021
22100075,1610612743,1610612742,1,2021
22100086,1610612744,1610612760,1,2021
22100014,1610612737,1610612742,1,2021
22100016,1610612744,1610612746,1,2021
22100255,1610612737,1610612760,1,2021
12100028,1610612742,1610612746,1,2021
12100010,1610612746,1610612743,1,2021
12100004,1610612748,1610612737,1,2021
12100019,1610612744,1610612743,1,2021
12100016,1610612737,1610612739,0,2021
12100015,1610612765,1610612759,1,2021
12100024,1610612745,1610612748,0,2021
12100031,1610612744,1610612747,1,2021
12100029,1610612759,1610612748,0,2021
